"miRNA","baseMean","log2FC","lfcSE","stat","pvalue","padj"
"hsa-miR-148a-5p","674.0595","1.2908","0.2256","5.7213","0","0"
"hsa-miR-370-3p","49.0984","-3.4754","0.545","-6.3773","0","0"
"hsa-miR-556-5p","26.8694","-2.352","0.4894","-4.8059","0","0.0002"
"hsa-miR-192-5p","330.1297","1.4822","0.328","4.5186","0","0.0005"
"hsa-miR-194-5p","25.507","1.468","0.337","4.3561","0","0.0009"
"hsa-miR-145-5p","100.9515","-2.8111","0.6717","-4.1851","0","0.0013"
"hsa-miR-148a-3p","4731.2031","0.9044","0.2149","4.2096","0","0.0013"
"hsa-miR-485-3p","116.4949","-2.6955","0.6747","-3.9951","0.0001","0.0023"
"hsa-miR-486-5p","507282.1807","1.2004","0.2991","4.0138","0.0001","0.0023"
"hsa-miR-21-5p","43270.4635","0.8139","0.2079","3.9144","0.0001","0.003"
"hsa-miR-454-3p","18.9987","-1.5492","0.4121","-3.7588","0.0002","0.0051"
"hsa-let-7b-5p","126.4225","-0.8507","0.2471","-3.4433","0.0006","0.0126"
"hsa-miR-1307-3p","43.2292","-1.0177","0.295","-3.45","0.0006","0.0126"
"hsa-miR-337-5p","7.5378","-2.5993","0.7517","-3.458","0.0005","0.0126"
"hsa-miR-7706","80.727","0.7326","0.2128","3.4423","0.0006","0.0126"
"hsa-miR-150-5p","15382.7657","-1.7143","0.5046","-3.3975","0.0007","0.0139"
"hsa-miR-223-5p","25.442","0.8728","0.2627","3.3228","0.0009","0.0171"
"hsa-miR-15b-5p","1275.2452","-0.8748","0.2677","-3.2682","0.0011","0.0191"
"hsa-miR-25-3p","11414.6547","0.7323","0.2255","3.2468","0.0012","0.0191"
"hsa-miR-363-3p","1253.9825","0.9869","0.3037","3.2497","0.0012","0.0191"
"hsa-miR-3615","58.8086","1.0955","0.3454","3.172","0.0015","0.0236"
"hsa-miR-589-5p","293.3035","0.6135","0.1968","3.1176","0.0018","0.0271"
"hsa-miR-15a-5p","4571.5916","0.8316","0.2701","3.0795","0.0021","0.0295"
"hsa-miR-582-3p","66.4793","1.8577","0.6088","3.0516","0.0023","0.031"
"hsa-miR-16-2-3p","148.161","1.0099","0.3337","3.026","0.0025","0.0324"
"hsa-miR-335-5p","1942.6673","-0.9687","0.3307","-2.9295","0.0034","0.0427"
"hsa-miR-142-3p","84.3699","-1.0743","0.3704","-2.9005","0.0037","0.0451"
"hsa-miR-374b-5p","35.5346","-0.8285","0.2904","-2.853","0.0043","0.0481"
"hsa-miR-652-3p","212.1416","0.8134","0.2857","2.8471","0.0044","0.0481"
"hsa-miR-99b-3p","27.1292","1.1066","0.3865","2.8633","0.0042","0.0481"
"hsa-miR-376a-5p","10.0809","-2.1445","0.7565","-2.8346","0.0046","0.0484"
"hsa-miR-101-3p","4216.6723","0.778","0.2846","2.734","0.0063","0.0497"
"hsa-miR-1843","14.3532","0.8858","0.3246","2.7292","0.0063","0.0497"
"hsa-miR-224-5p","154.6766","-1.0127","0.3724","-2.7196","0.0065","0.0497"
"hsa-miR-23a-3p","59.6915","-0.5077","0.1845","-2.7519","0.0059","0.0497"
"hsa-miR-340-5p","4900.7765","0.4969","0.1791","2.775","0.0055","0.0497"
"hsa-miR-3688-3p","17.7692","1.2409","0.4558","2.7222","0.0065","0.0497"
"hsa-miR-423-3p","7418.4727","-0.6556","0.2397","-2.7353","0.0062","0.0497"
"hsa-miR-501-3p","134.8608","1.1639","0.4195","2.7745","0.0055","0.0497"
"hsa-miR-532-5p","395.3525","0.7351","0.2697","2.7252","0.0064","0.0497"
"hsa-miR-660-5p","193.0882","0.8176","0.2951","2.7709","0.0056","0.0497"
"hsa-miR-99b-5p","1779.6222","0.994","0.3564","2.7889","0.0053","0.0497"
"hsa-miR-3157-3p","7.2058","1.4041","0.5007","2.8044","0.005","0.0497"
"hsa-miR-3912-3p","8.9672","1.385","0.5113","2.709","0.0067","0.0502"
"hsa-miR-505-3p","84.7115","-1.3903","0.5162","-2.6931","0.0071","0.0514"
"hsa-miR-337-3p","67.6712","-1.5626","0.5846","-2.6729","0.0075","0.0523"
"hsa-miR-369-3p","135.4879","-1.1815","0.4412","-2.6779","0.0074","0.0523"
"hsa-miR-125a-5p","1742.248","-0.9288","0.35","-2.6537","0.008","0.0542"
"hsa-miR-15b-3p","63.9517","0.8308","0.3177","2.6151","0.0089","0.0595"
"hsa-miR-148b-3p","187.4073","-0.4328","0.1682","-2.5738","0.0101","0.0598"
