miRNA,AUD1_fem,AUD1_masc,AUD2_fem,AUD2_masc,AUD3_masc,AUD4_masc,AUD5_masc,AUD6_masc,AUD7_masc,AUD3_fem,AUD4_fem,CTROL1_fem,CTROL1_masc,CTROL2_masc,CTROL2_fem,CTROL3_fem,CTROL3_masc,CTROL4_masc,CTROL4_fem,CTROL5_masc,CTROL6_masc,CTROL5_fem,CTROL6_fem,CTROL7_masc,CTROL8_masc
hsa-let-7a-3p,45,1,0,0,1,0,6,2,1,0,0,0,17,0,0,4,3,1,41,1,0,2,1,0,10
hsa-let-7a-5p,768,2855,61,2112,844,951,2196,1983,1102,2217,200,384,4331,2653,831,1897,3597,1157,1437,1622,1,1567,1883,160,3187
hsa-let-7b-3p,1018,207,1,305,287,168,1068,533,115,583,20,243,2079,869,397,1130,723,665,1095,389,0,943,363,431,1942
hsa-let-7b-5p,5546,17426,406,10976,6052,5663,9403,8178,5838,13707,1101,1584,8186,9061,5364,8189,16469,4812,5922,10199,2,3544,5457,2192,9417
hsa-let-7c-3p,26,0,1,0,0,2,11,12,2,0,0,0,0,15,7,5,16,10,42,0,0,35,0,0,2
hsa-let-7c-5p,1428,9015,164,4910,2824,3023,4198,4929,2802,5214,491,698,6519,6848,1988,3557,8773,2222,2713,4602,26,2485,3295,197,4421
hsa-let-7d-3p,2052,176,16,670,306,284,1028,1147,199,880,74,690,5801,832,765,1423,1575,789,2435,451,0,1805,459,283,4429
hsa-let-7d-5p,3283,5143,242,5124,3933,2161,5674,4785,2952,6736,801,1839,13233,5532,2676,4128,10587,4693,6857,3917,0,4449,4827,443,9603
hsa-let-7e-3p,117,26,0,22,42,26,59,21,8,42,3,55,357,62,17,77,66,38,124,30,0,90,32,0,329
hsa-let-7e-5p,131,400,23,429,145,105,486,326,229,479,54,143,1680,475,233,383,1156,321,452,242,0,656,220,22,888
hsa-let-7f-1-3p,483,69,3,76,17,53,202,77,12,48,8,34,387,225,135,118,119,147,171,93,0,202,30,94,630
hsa-let-7f-2-3p,1283,141,3,88,120,76,261,60,57,43,6,157,986,154,50,318,440,356,864,72,0,425,136,133,750
hsa-let-7f-5p,1733,2768,97,3695,1432,1359,3592,3356,1682,3185,367,937,9158,5748,1405,4592,7878,2357,3498,1545,1,3495,5423,28,5972
hsa-let-7g-3p,51,0,0,0,0,0,8,0,3,0,0,1,0,0,0,8,0,0,20,0,0,11,0,0,0
hsa-let-7g-5p,5997,7273,140,4920,7243,1485,4370,4160,2835,4047,552,1099,12534,6137,2091,3667,8481,4488,6551,3209,39,4905,10314,497,8800
hsa-let-7i-3p,355,0,2,15,56,6,40,3,7,9,0,16,77,12,17,44,55,47,95,12,0,16,10,0,80
hsa-let-7i-5p,1413,499,42,816,713,415,981,635,393,526,57,176,1428,648,456,692,1962,805,1115,366,4,645,1425,16,1232
hsa-miR-100-5p,33,537,5,1636,584,199,543,2337,160,762,38,169,1312,1632,1040,1019,1635,954,669,1018,0,409,709,51,570
hsa-miR-101-3p,338,93,2,38,0,3,69,46,16,10,0,31,737,123,4,97,180,245,92,23,0,184,20,0,317
hsa-miR-101-5p,175,14,0,0,0,0,7,0,0,0,0,0,0,19,0,7,2,28,21,0,0,17,0,0,25
hsa-miR-10395-3p,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10395-5p,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10399-3p,33,8,0,7,10,1,2,0,0,0,0,0,0,1,0,0,8,3,0,0,0,0,0,0,18
hsa-miR-10399-5p,24,1,3,27,0,9,13,0,1,20,0,0,102,27,1,12,31,13,9,6,0,19,0,0,73
hsa-miR-103a-2-5p,1,0,2,0,2,1,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0
hsa-miR-103a-3p,1176,2334,129,3200,3737,1044,2100,2751,2084,2037,306,884,10314,3781,1861,3173,6887,3874,5457,1889,6,3921,3921,362,5974
hsa-miR-10400-5p,1,0,17,22,9,145,22,3,196,1,707,0,3,1,5,17,1,0,83,8,0,35,3,6,7
hsa-miR-10401-5p,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-10527-5p,64,36,7,128,219,40,59,70,30,126,19,23,89,129,96,66,256,116,221,60,0,59,215,0,210
hsa-miR-106a-5p,50,66,2,74,153,12,45,31,127,33,1,44,611,63,13,59,83,74,187,79,0,282,148,12,347
hsa-miR-106b-3p,434,143,1,131,100,41,111,233,123,102,9,124,440,161,142,201,323,232,260,138,0,228,72,62,410
hsa-miR-106b-5p,9348,668,33,848,596,306,840,705,395,402,96,484,5975,837,495,1178,2103,1381,2302,257,0,2190,856,0,2323
hsa-miR-107,53,234,15,360,373,158,310,402,100,323,30,224,1746,452,240,480,804,559,825,252,0,750,285,10,830
hsa-miR-10a-3p,806,875,41,2142,1604,630,2098,1653,367,1724,168,1352,13255,1980,1380,3699,3352,2931,5735,460,0,4627,4770,65,9188
hsa-miR-10a-5p,327,3703,83,31807,7223,3635,11326,41035,1453,28151,684,2744,23287,36124,20826,32784,37420,24266,11392,7621,0,8277,9093,147,18315
hsa-miR-10b-3p,288,4780,134,12859,9473,3637,6968,8600,1230,11824,356,2193,12998,8982,5541,18033,14900,12324,11946,3892,0,4601,5718,1068,11641
hsa-miR-10b-5p,129,3506,60,40619,6538,4777,14224,59592,1250,37627,776,5425,24025,51399,25489,56089,54942,31185,14510,13521,0,10528,3568,99,21801
hsa-miR-1180-3p,114,488,16,807,555,210,686,1027,211,1302,62,202,1570,921,584,624,1948,630,491,585,0,694,454,156,1575
hsa-miR-1204,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-12136,1120,369,49,490,761,183,589,122,367,608,123,1356,111,117,287,471,128,537,1529,732,0,94,138,0,0
hsa-miR-122-5p,21,0,0,77,87,3,1,8,0,0,2,0,10,7,0,18,5,3,7,6,0,0,0,1,3
hsa-miR-124-3p,31,21,0,17,9,7,85,77,22,58,2,0,129,34,29,16,96,72,43,50,0,27,0,0,0
hsa-miR-1246,28,73,5,30,19,94,22,26,374,24,9,373,12,7,20,6,7,7,0,6,0,0,94,0,0
hsa-miR-1249-3p,68,0,1,0,0,0,2,0,0,1,0,9,22,4,0,0,2,0,9,4,0,10,0,62,12
hsa-miR-1251-5p,12,0,3,8,0,7,27,16,0,11,5,0,0,29,1,0,44,27,41,38,0,5,0,0,0
hsa-miR-1255a,22,19,0,0,0,0,3,0,12,0,1,0,0,6,0,0,12,4,0,0,0,0,0,0,0
hsa-miR-1255b-5p,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,4,1,4,0,0,0,0,0,0
hsa-miR-125a-3p,22,607,24,1361,1514,449,793,1024,290,1483,70,314,1571,1065,958,1874,1990,1230,801,617,0,910,332,62,1600
